Interest Code,Job Zone,Code,Occupation,Featured
RAC,1,51-9123.00,"Painting, Coating, and Decorating Workers",Y
RCA,1,51-6051.00,"Sewers, Hand",Y
ASE,2,27-2011.00,Actors,Y
ACR,2,39-3092.00,Costume Attendants,Y
AEC,2,27-2091.00,"Disc Jockeys, Except Radio",Y
ARE,2,41-9012.00,Models,Y
RAC,2,27-1023.00,Floral Designers,Y
SA,2,39-9011.01,Nannies,Y
RA,2,51-6041.00,Shoe and Leather Workers and Repairers,Y
RAC,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",Y
RA,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Y
RAC,2,51-6093.00,Upholsterers,Y
SCA,2,39-9011.00,Childcare Workers,Y
RCA,2,51-9194.00,Etchers and Engravers,Y
RCA,2,51-7021.00,Furniture Finishers,Y
RCA,2,47-2142.00,Paperhangers,Y
RCA,2,51-9151.00,Photographic Process Workers and Processing Machine Operators,Y
ARC,3,27-4031.00,"Camera Operators, Television, Video, and Film",Y
AS,3,27-2032.00,Choreographers,Y
AR,3,27-1012.00,Craft Artists,Y
ARS,3,27-2031.00,Dancers,Y
ARE,3,27-1022.00,Fashion Designers,Y
AR,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Y
AR,3,39-5091.00,"Makeup Artists, Theatrical and Performance",Y
ARE,3,27-1026.00,Merchandise Displayers and Window Trimmers,Y
CA,3,43-9031.00,Desktop Publishers,Y
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,Y
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,Y
RAC,3,49-9063.00,Musical Instrument Repairers and Tuners,Y
RA,3,27-4021.00,Photographers,Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SA,3,25-3021.00,Self-Enrichment Teachers,Y
RAC,3,27-4014.00,Sound Engineering Technicians,Y
RCA,3,17-3011.00,Architectural and Civil Drafters,Y
RCA,3,51-7031.00,"Model Makers, Wood",Y
RCA,3,51-4062.00,"Patternmakers, Metal and Plastic",Y
RCA,3,51-7032.00,"Patternmakers, Wood",Y
AE,4,27-1011.00,Art Directors,Y
AES,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y
ARI,4,27-1021.00,Commercial and Industrial Designers,Y
ACE,4,27-3041.00,Editors,Y
AC,4,27-4032.00,Film and Video Editors,Y
A,4,27-1024.00,Graphic Designers,Y
AR,4,27-1025.00,Interior Designers,Y
AE,4,27-2041.00,Music Directors and Composers,Y
AE,4,27-2042.00,Musicians and Singers,Y
AIE,4,27-3023.00,"News Analysts, Reporters, and Journalists",Y
AI,4,27-3043.05,"Poets, Lyricists and Creative Writers",Y
AE,4,27-2012.00,Producers and Directors,Y
AR,4,27-1014.00,Special Effects Artists and Animators,Y
AIE,4,15-1255.01,Video Game Designers,Y
AE,4,27-3043.00,Writers and Authors,Y
SA,4,25-2012.00,"Kindergarten Teachers, Except Special Education",Y
SAI,4,29-1129.02,Music Therapists,Y
EAS,4,27-2012.04,Talent Directors,Y
IAC,4,15-1255.00,Web and Digital Interface Designers,Y

