Interest Code,Job Zone,Code,Occupation,Featured
CSR,1,39-3091.00,Amusement and Recreation Attendants,Y
RC,1,45-2091.00,Agricultural Equipment Operators,Y
RCS,1,35-3023.01,Baristas,Y
RC,1,53-7011.00,Conveyor Operators and Tenders,Y
RCE,1,35-2011.00,"Cooks, Fast Food",Y
RC,1,47-5011.00,"Derrick Operators, Oil and Gas",Y
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
RC,1,35-9021.00,Dishwashers,Y
RC,1,45-4021.00,Fallers,Y
RCE,1,35-3023.00,Fast Food and Counter Workers,Y
RC,1,45-3031.00,Fishing and Hunting Workers,Y
RC,1,45-2041.00,"Graders and Sorters, Agricultural Products",Y
RC,1,37-3011.00,Landscaping and Groundskeeping Workers,Y
RC,1,51-6011.00,Laundry and Dry-Cleaning Workers,Y
RC,1,37-2012.00,Maids and Housekeeping Cleaners,Y
RC,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Y
RC,1,47-2161.00,Plasterers and Stucco Masons,Y
RC,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Y
RC,1,51-6031.00,Sewing Machine Operators,Y
CES,2,43-3011.00,Bill and Account Collectors,
CE,2,43-5011.00,Cargo and Freight Agents,Y
CE,2,41-2011.00,Cashiers,Y
CRI,2,51-9162.00,Computer Numerically Controlled Tool Programmers,Y
CE,2,43-4021.00,Correspondence Clerks,
CES,2,41-2021.00,Counter and Rental Clerks,
CRS,2,43-5021.00,Couriers and Messengers,
CES,2,43-4031.00,"Court, Municipal, and License Clerks",
CES,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",
CES,2,43-4051.00,Customer Service Representatives,Y
CR,2,43-9021.00,Data Entry Keyers,
CR,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",
C,2,43-4071.00,File Clerks,
CRS,2,53-2031.00,Flight Attendants,Y
CER,2,43-5011.01,Freight Forwarders,Y
CE,2,39-3012.00,Gambling and Sports Book Writers and Runners,
CE,2,43-3041.00,Gambling Cage Workers,
CE,2,41-2012.00,Gambling Change Persons and Booth Cashiers,
CER,2,39-3011.00,Gambling Dealers,Y
CER,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,
CSE,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Y
CE,2,43-9041.00,Insurance Claims and Policy Processing Clerks,
CS,2,43-4121.00,"Library Assistants, Clerical",
CRS,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Y
CR,2,45-4023.00,Log Graders and Scalers,
CR,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
CR,2,43-5041.00,"Meter Readers, Utilities",
C,2,43-9061.00,"Office Clerks, General",Y
CR,2,43-9071.00,"Office Machine Operators, Except Computer",
CE,2,43-4151.00,Order Clerks,
CR,2,53-7064.00,"Packers and Packagers, Hand",
CRE,2,41-2022.00,Parts Salespersons,
CSR,2,53-6061.00,Passenger Attendants,
CER,2,31-9095.00,Pharmacy Aides,Y
CR,2,43-5051.00,Postal Service Clerks,
CR,2,43-5052.00,Postal Service Mail Carriers,
CR,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",
CR,2,51-5112.00,Printing Press Operators,
CE,2,43-3061.00,Procurement Clerks,
CE,2,43-5061.00,"Production, Planning, and Expediting Clerks",Y
