Interest Code,Job Zone,Code,Occupation,Featured
ECR,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
SEC,1,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y
RCE,1,35-2011.00,"Cooks, Fast Food",Y
RCE,1,35-3023.00,Fast Food and Counter Workers,Y
ECR,2,53-1041.00,Aircraft Cargo Handling Supervisors,Y
EC,2,41-9011.00,Demonstrators and Product Promoters,Y
ERC,2,13-1074.00,Farm Labor Contractors,Y
ECS,2,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Y
ECR,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Y
ECR,2,39-1013.00,First-Line Supervisors of Gambling Services Workers,Y
ECR,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Y
ECR,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Y
ECS,2,33-1012.00,First-Line Supervisors of Police and Detectives,Y
ECS,2,41-1011.00,First-Line Supervisors of Retail Sales Workers,Y
ECR,2,33-1091.00,First-Line Supervisors of Security Workers,Y
ECR,2,11-9051.00,Food Service Managers,Y
EC,2,11-9071.00,Gambling Managers,Y
ECS,2,11-9131.00,Postmasters and Mail Superintendents,Y
ECR,2,53-1042.01,Recycling Coordinators,Y
EC,2,41-2031.00,Retail Salespersons,Y
ECS,2,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Y
ECS,2,41-9041.00,Telemarketers,Y
ECR,2,27-2023.00,"Umpires, Referees, and Other Sports Officials",Y
SEC,2,39-7012.00,Travel Guides,Y
ECS,3,11-3012.00,Administrative Services Managers,Y
ERC,3,35-1011.00,Chefs and Head Cooks,Y
ECR,3,11-3013.00,Facilities Managers,Y
ECR,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,
ECS,3,33-1011.00,First-Line Supervisors of Correctional Officers,
ERC,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",
ERC,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Y
ECR,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",
ERC,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Y
ECR,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",
ECS,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Y
ECS,3,53-1044.00,First-Line Supervisors of Passenger Attendants,Y
ECS,3,39-1022.00,First-Line Supervisors of Personal Service Workers,Y
