Interest Code,Job Zone,Code,Occupation,Featured
RIC,2,51-9081.00,Dental Laboratory Technicians,Y
RIC,2,17-3029.01,Non-Destructive Testing Specialists,Y
SIC,2,31-1133.00,Psychiatric Aides,Y
RIC,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Y
RCI,2,45-2011.00,Agricultural Inspectors,Y
RCI,2,33-9011.00,Animal Control Workers,Y
RCI,2,51-8099.01,Biofuels Processing Technicians,Y
RCI,2,51-9011.00,Chemical Equipment Operators and Tenders,Y
RCI,2,51-8091.00,Chemical Plant and System Operators,Y
RCI,2,47-5023.00,"Earth Drillers, Except Oil and Gas",Y
RCI,2,51-2022.00,Electrical and Electronic Equipment Assemblers,Y
RCI,2,51-2023.00,Electromechanical Equipment Assemblers,Y
RCI,2,31-9099.02,Endoscopy Technicians,Y
RCI,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Y
RCI,2,49-9099.01,Geothermal Technicians,Y
RCI,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Y
RCI,2,53-4011.00,Locomotive Engineers,Y
RCI,2,31-9093.00,Medical Equipment Preparers,Y
RCI,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Y
RCI,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Y
IRC,3,19-4031.00,Chemical Technicians,Y
IC,3,15-1211.00,Computer Systems Analysts,Y
ICR,3,15-1299.08,Computer Systems Engineers/Architects,
ICR,3,13-1041.06,Coroners,Y
ICR,3,33-3021.00,Detectives and Criminal Investigators,Y
ICR,3,19-4092.00,Forensic Science Technicians,Y
IRC,3,29-2099.01,Neurodiagnostic Technologists,Y
RIC,3,29-2031.00,Cardiovascular Technologists and Technicians,Y
RIC,3,17-3022.00,Civil Engineering Technologists and Technicians,Y
RIC,3,49-9092.00,Commercial Divers,Y
RIC,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Y
CIS,3,29-9021.00,Health Information Technologists and Medical Registrars,Y
SIC,3,29-2092.00,Hearing Aid Specialists,Y
RIC,3,51-9082.00,Medical Appliance Technicians,Y
CIE,3,23-2011.00,Paralegals and Legal Assistants,Y
RIC,3,19-4012.01,Precision Agriculture Technicians,Y
SI,3,29-2053.00,Psychiatric Technicians,Y
CIR,3,19-4099.01,Quality Control Analysts,Y
RIC,3,29-2056.00,Veterinary Technologists and Technicians,Y
CI,3,15-1254.00,Web Developers,Y
IRC,4,17-2011.00,Aerospace Engineers,Y
IRC,4,17-2021.00,Agricultural Engineers,Y
IRC,4,19-2021.00,Atmospheric and Space Scientists,
IR,4,17-2031.00,Bioengineers and Biomedical Engineers,Y
IER,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,
ICR,4,15-2099.01,Bioinformatics Technicians,Y
IRC,4,19-2031.00,Chemists,Y
ICE,4,11-9121.01,Clinical Research Coordinators,Y
ICR,4,15-1241.00,Computer Network Architects,
IRC,4,19-1031.00,Conservation Scientists,
IRC,4,29-2011.01,Cytogenetic Technologists,Y
IC,4,15-2051.00,Data Scientists,Y
IC,4,15-1299.06,Digital Forensics Analysts,Y
IRC,4,17-2081.00,Environmental Engineers,
IRC,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",
IRC,4,19-2041.00,"Environmental Scientists and Specialists, Including Health",Y
IRC,4,19-1012.00,Food Scientists and Technologists,Y
IR,4,19-3092.00,Geographers,
IRC,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",
IRC,4,29-2011.04,Histotechnologists,
IC,4,33-3021.06,Intelligence Analysts,
IRC,4,19-2032.00,Materials Scientists,
IRC,4,29-2011.00,Medical and Clinical Laboratory Technologists,Y
ICR,4,29-2036.00,Medical Dosimetrists,Y
IRC,4,19-1022.00,Microbiologists,
IRC,4,17-2161.00,Nuclear Engineers,
ICR,4,19-5011.00,Occupational Health and Safety Specialists,Y
ICR,4,15-1299.04,Penetration Testers,Y
IRC,4,17-2199.07,Photonics Engineers,
IRC,4,19-2099.01,Remote Sensing Scientists and Technologists,
IC,4,19-4061.00,Social Science Research Assistants,
ICR,4,15-1252.00,Software Developers,Y
ICR,4,15-1253.00,Software Quality Assurance Analysts and Testers,Y
IEC,4,13-1199.05,Sustainability Specialists,Y
IC,4,19-3099.01,Transportation Planners,
ICR,4,17-2112.02,Validation Engineers,Y
IRC,4,11-9121.02,Water Resource Specialists,Y
IAC,4,15-1255.00,Web and Digital Interface Designers,
IR,4,19-1023.00,Zoologists and Wildlife Biologists,
