Interest Code,Job Zone,Code,Occupation,Featured
SEC,1,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y
CSR,1,39-3091.00,Amusement and Recreation Attendants,Y
RCS,1,35-3023.01,Baristas,Y
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
SCA,2,39-9011.00,Childcare Workers,Y
SEC,2,39-6012.00,Concierges,Y
SRC,2,31-1121.00,Home Health Aides,Y
SA,2,39-9011.01,Nannies,Y
SCR,2,31-1122.00,Personal Care Aides,Y
SRC,2,31-2022.00,Physical Therapist Aides,Y
SIC,2,31-1133.00,Psychiatric Aides,Y
SCR,2,33-9094.00,School Bus Monitors,Y
SEC,2,39-7012.00,Travel Guides,Y
SCE,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Y
SCE,2,35-3031.00,Waiters and Waitresses,Y
RSC,2,39-2021.00,Animal Caretakers,Y
RS,2,39-2011.00,Animal Trainers,Y
RSC,2,35-3041.00,"Food Servers, Nonrestaurant",Y
RSC,2,39-4021.00,Funeral Attendants,Y
CSE,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Y
RSC,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Y
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
CSR,2,53-6061.00,Passenger Attendants,Y
RSC,2,39-5093.00,Shampooers,Y
SI,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",
SRI,3,29-1292.00,Dental Hygienists,Y
SRC,3,29-2051.00,Dietetic Technicians,
SRI,3,29-2042.00,Emergency Medical Technicians,Y
SR,3,39-9031.00,Exercise Trainers and Group Fitness Instructors,Y
SIC,3,29-2092.00,Hearing Aid Specialists,Y
SRC,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Y
SRI,3,31-9011.00,Massage Therapists,Y
SRC,3,31-1131.00,Nursing Assistants,Y
SRC,3,31-2012.00,Occupational Therapy Aides,Y
SCR,3,31-2011.00,Occupational Therapy Assistants,Y
SRI,3,29-2043.00,Paramedics,Y
SIC,3,29-2099.08,Patient Representatives,Y
SRC,3,31-2021.00,Physical Therapist Assistants,Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SI,3,29-2053.00,Psychiatric Technicians,Y
SCE,3,39-9041.00,Residential Advisors,Y
SRI,3,29-1126.00,Respiratory Therapists,Y
SA,3,25-3021.00,Self-Enrichment Teachers,
SCI,3,31-9099.01,Speech-Language Pathology Assistants,Y
SC,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",
SC,3,25-9043.00,"Teaching Assistants, Special Education",
SE,3,39-7011.00,Tour Guides and Escorts,Y
S,3,25-3041.00,Tutors,
SIR,4,29-1141.01,Acute Care Nurses,Y
S,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",
S,4,25-2023.00,"Career/Technical Education Teachers, Middle School",
S,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",Y
S,4,21-1021.00,"Child, Family, and School Social Workers",Y
SER,4,27-2022.00,Coaches and Scouts,Y
S,4,21-1094.00,Community Health Workers,Y
SIR,4,29-1141.03,Critical Care Nurses,Y
SE,4,21-2021.00,"Directors, Religious Activities and Education",Y
SEC,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Y
SA,4,25-2021.00,"Elementary School Teachers, Except Special Education",Y
SE,4,11-9179.01,Fitness and Wellness Coordinators,Y
SIC,4,21-1091.00,Health Education Specialists,Y
SA,4,25-2012.00,"Kindergarten Teachers, Except Special Education",
SA,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Y
SAI,4,29-1129.02,Music Therapists,Y
SIR,4,19-1031.03,Park Naturalists,Y
SCE,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,Y
SER,4,39-9032.00,Recreation Workers,Y
SI,4,29-1125.00,Recreational Therapists,Y
SIC,4,29-1141.00,Registered Nurses,Y
S,4,21-1015.00,Rehabilitation Counselors,
S,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",
SCE,4,21-1093.00,Social and Human Service Assistants,Y
SI,4,25-2056.00,"Special Education Teachers, Elementary School",
S,4,25-2055.00,"Special Education Teachers, Kindergarten",
SIA,4,25-2057.00,"Special Education Teachers, Middle School",
SI,4,25-2058.00,"Special Education Teachers, Secondary School",Y
SC,4,25-3031.00,"Substitute Teachers, Short-Term",
SCI,4,13-1151.00,Training and Development Specialists,Y

